title,condition,url,kind
"비정형 데이터 분석: 소셜 네트워크의 이해 및 분석, 사회",진행중,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22003K+2022_W03/about,사회
"비정형 데이터 분석: 소셜 네트워크의 분석 심화, 사회",진행중,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22004K+2022_W04/about,사회
"영미문화 속 여성이야기, 사회",진행중,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22002K+2022_W02/about,사회
"임상정보학, 의료",청강가능,http://www.kmooc.kr/courses/course-v1:KOHI+KOHI007+2023_001/about,의료
"마학·마술학 기초과정, 자연",진행중,http://www.kmooc.kr/courses/course-v1:KRA+KRA01+2023_1/about,자연
"말보건관리·재활승마이론 기초과정, 자연",진행중,http://www.kmooc.kr/courses/course-v1:KRA+KRA02+2023_1/about,자연
"한걸음 더 몽골어 더 알고 싶은 몽골어, 인문",진행중,http://www.kmooc.kr/courses/course-v1:HUFS+HUFS_14+2023_T1/about,인문
"초급 힌디어 문법:A1, 인문",진행중,http://www.kmooc.kr/courses/course-v1:HUFS+HUFS_19+2023_T1/about,인문
"이탈리아어, 첫 걸음 내딛기, 인문",진행중,http://www.kmooc.kr/courses/course-v1:HUFS+HUFS_15+2023_T1/about,인문
"기초 태국어 (A1), 인문",진행중,http://www.kmooc.kr/courses/course-v1:HUFS+HUFS_17+2023_T1/about,인문
"초급 인도네시아어 읽기, 인문",진행중,http://www.kmooc.kr/courses/course-v1:HUFS+HUFS_16+2023_T1/about,인문
"초급 헝가리어-1, 인문",진행중,http://www.kmooc.kr/courses/course-v1:HUFS+HUFS_18+2023_T1/about,인문
"기계 학습 기반의 데이터 공학, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SMUk+SMU2022_1+2022_T4/about,공학
"위대한 수업2(GREAT MINDS) : 다시 보는 <총, 균, 쇠>, 인문",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS017+2022_T1/about,인문
"블록체인 경제와 디지털 자산 혁명, 인문",진행중,http://www.kmooc.kr/courses/course-v1:SSUk+SSMOOC23K+2022_T2/about,인문
"차이나는 K-클라스 : 1시간에 몰아보는 K-컬처 총정리(유홍준, 김영대, 백은하), 인문",청강가능,http://www.kmooc.kr/courses/course-v1:JTBC+JTBC020+2022_T1/about,인문
"생물정보학과 신약개발, 의료",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_20+2022_T2/about,의료
"한국의 민주주의와 민주화 운동Ⅵ, 사회",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_23+2022_T2/about,사회
"한국의 민주주의와 민주화 운동Ⅴ, 사회",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_22+2022_T2/about,사회
"아트앤테크 융합예술의 이해, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_21+2022_T2/about,예체능
"말조련 실무 기초과정, 자연",진행중,http://www.kmooc.kr/courses/course-v1:KRA+KRA03+2022_1/about,자연
"민주 시민의식을 위한 동양 고전의 프리즘, 인문",진행중,http://www.kmooc.kr/courses/course-v1:KoreaUnivK+ku_hum_ctl001+2022_BA_ctl01/about,인문
"과학문화 명작세미나, 인문",진행중,http://www.kmooc.kr/courses/course-v1:KoreaUnivK+ku_hum_ctl002+2022_BA_ctl02/about,인문
"파이썬 프로그래밍, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SunMoonK+SMKMOOC-04+2023_T1/about,공학
"생활과 문화를 통해 한국사 새롭게 이해하기, 인문",진행중,http://www.kmooc.kr/courses/course-v1:KoreaUnivK+ku_hum_ctl003+2022_BA_ctl03/about,인문
"R로 배우는 고급통계, 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_CUK+MATCHUP_CUK_B01+2022_2/about,공학
"TeraONE 활용 빅데이터 통합 플랫폼 구축, 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_CUK+MATCHUP_CUK_B04+2022_2/about,공학
"빅데이터 거버넌스, 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_CUK+MATCHUP_CUK_B02+2022_2/about,공학
"빅데이터 분석 프로젝트, 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_CUK+MATCHUP_CUK_B03+2022_2/about,공학
"논문작성 가이드, 인문",진행중,http://www.kmooc.kr/courses/course-v1:SKKUk+skku_67+2022_T1/about,인문
"나노 공정과 생산, 공학",진행중,http://www.kmooc.kr/courses/course-v1:POSTECHk+MECH701A+2023_T1/about,공학
"나노스케일 에너지 전달, 공학",진행중,http://www.kmooc.kr/courses/course-v1:POSTECHk+MECH650+2023_T1/about,공학
"K-뷰티 마케팅, 인문",진행중,http://www.kmooc.kr/courses/course-v1:DHUk+DHU17k+2022_T2/about,인문
"K-뷰티 코디네이션, 자연",진행중,http://www.kmooc.kr/courses/course-v1:DHUk+DHU19k+2022_T2/about,자연
"색채와 퍼스널컬러, 자연",진행중,http://www.kmooc.kr/courses/course-v1:DHUk+DHU20k+2022_T2/about,자연
"바이오뷰티 창업과 성공전략, 사회",진행중,http://www.kmooc.kr/courses/course-v1:DHUk+DHU18k+2022_T2/about,사회
"문화융합시대의 창업, 사회",진행중,http://www.kmooc.kr/courses/course-v1:RUCK+RUCK01+2022_RUCK2/about,사회
"파이썬으로 배우는 기계학습 입문 Plus+, 공학",진행중,http://www.kmooc.kr/courses/course-v1:HGUk+HGUP01+2022_T4/about,공학
"모성간호학, 의료",진행중,http://www.kmooc.kr/courses/course-v1:PTUk+ID_PMOOC02k+2022_T3/about,의료
"빅데이터와 고객관계관리, 사회",진행중,http://www.kmooc.kr/courses/course-v1:PTUk+PMOOC02k+2022_T3/about,사회
"시와 상상력: 동서양의 명시를 통해 본 인문학적 상상력, 인문",진행중,http://www.kmooc.kr/courses/course-v1:PTUk+_PMOOC01k+2022_T4/about,인문
"인간행동과 사회환경, 사회",진행중,http://www.kmooc.kr/courses/course-v1:PTUk+ID_PMOOC01k+2022_T2/about,사회
"위대한 수업2(GREAT MINDS) : 불평등의 수수께끼, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS016+2022_T1/about,사회
"차이나는 K-클라스 : 우리 역사, K-콘텐트로 다시 태어나다(신주백), 인문",청강가능,http://www.kmooc.kr/courses/course-v1:JTBC+JTBC019+2022_T1/about,인문
"K-Development, From Where, To Where, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:YeungnamUnivK+YU202203+2022_02/about,사회
"자산관리와 인생재무제표, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:YeungnamUnivK+YU202202+2022_02/about,사회
