title,condition,kind
영화제를 만드는 사람들,청강가능,예체능
믿고 보는 부산 문화,청강가능,인문
인문으로 우려낸 부산의 맛,청강가능,인문
비름박 넘어 부산말,종료,인문
글로벌이슈와 세계시민(Global Issues and Global Citizenship),진행중,인문
전쟁과평화(War and Peace),청강가능,인문
위대한 수업2(GREAT MINDS) : 사랑의 사회학,청강가능,사회
차이나는 K-클라스 : 세계를 울리고 웃기는 우리 이야기의 힘(황석영),청강가능,인문
지혜로운 금융생활,진행중,사회
중국신화 : 고대로의 시간여행 Ⅰ,청강가능,인문
창의적 문제해결을 위한 생각 프로세스 Ⅰ,청강가능,공학
희망의 인문학 : 우리는 희망에서 무엇을 배우고 가르칠 수 있는가 Ⅱ,청강가능,인문
가족과 건강 : 질병예방과 건강증진 Ⅱ,청강가능,의료
R로 배우는 고급통계,종료,공학
TeraONE 활용 빅데이터 통합 플랫폼 구축,종료,공학
빅데이터 분석 프로젝트,종료,공학
인지와 감성,진행중,공학
감성디자인,청강가능,공학
감성 인공 지능,청강가능,공학
생체신호와 데이터 분석,청강가능,공학
감성컴퓨팅,청강가능,공학
"게임엔진을 이용한 실감콘텐츠(VR, AR) 기획과 개발",진행중,공학
생성 모델과 시각 지능,진행중,공학
인공지능시대의 사회적 쟁점,진행중,공학
휴먼컴퓨터인터페이스,청강가능,공학
자율 에이전트 및 멀티 에이전트 시스템,청강가능,공학
빅데이터 거버넌스,종료,공학
동아시아에서의 역사 인식과 화해(The Historical Recognition and Reconciliation in East Asia),진행중,공학
프로메테우스의 불; 과학과 전쟁(Fire of Prometheus; Science and War),진행중,공학
차이나는 K-클라스 : 디지털로 부활하는 K-문화유산(박진호),청강가능,예체능
위대한 수업2(GREAT MINDS) : 빅테크 기업의 흥망성쇠,청강가능,사회
위대한 수업2(GREAT MINDS) : 미식의 세계,청강가능,자연
소재가 빚어내는 문명의 화음,청강가능,융복합
생활과 건강,청강가능,의료
꼬리에 꼬리를 무는 역사1,청강가능,인문
생활속의 철학,청강가능,인문
영상의 이해,청강가능,예체능
의료 인공지능 개론 ,종료,의료
소비자 건강정보 도구와 모바일헬스 ,종료,의료
보건의료데이터 활용 이해 ,종료,의료
정보의학개론,종료,의료
희망의 인문학 : 우리는 희망에서 무엇을 배우고 가르칠 수 있는가 Ⅰ,청강가능,인문
가족과 건강 : 질병예방과 건강증진 Ⅰ,청강가능,의료
SQL 정형 데이터 분석,종료,공학
선형대수로 배우는 빅데이터,종료,공학
대용량 데이터 처리,종료,공학
빅데이터 프레임워크,종료,공학
머신러닝 빅데이터 분석,종료,공학
빅데이터를 위한 확률과 통계,종료,공학
빅데이터 플랫폼,종료,공학
비정형 데이터 분석,종료,공학
바이오에너제틱스,청강가능,자연
대화와 인간관계,청강가능,인문
스마트 팩토리에 대한 이해 : 우리는 제조업을 어떻게 스마트하게 만들 수 있는가?,청강가능,공학
영상처리와 패턴인식,청강가능,공학
정부와 행정,청강가능,사회
"손끝 금융, 핀테크 경영",청강가능,사회
할 수 있게 하는 4IR 기술,청강가능,의료
PACK&TECH;: 패키징(기초편),청강가능,공학
공직사회 반부패 원리와 방안,청강가능,사회
우주생명과학: 우주에서 만난 지구인,청강가능,자연
엑셀로 배우는 비용편익분석,청강가능,사회
차이나는 K-클라스 : 시대와 호흡한 K-건축의 세계(김봉렬),청강가능,예체능
UX/UI 디자인 프로젝트,청강가능,예체능
UI 디자인,청강가능,예체능
UX 디자인,청강가능,예체능
가족과 건강 : 운동과 뇌 건강 Ⅱ,청강가능,의료
모범시민의 교양회계 Ⅱ,청강가능,사회
뮤지컬로 읽는 문학작품,종료,인문
호텔을 알면 여행이 즐겁다,종료,사회
창의적인 사람의 7가지 습관,종료,사회
건강과 식생활,종료,사회
4차산업혁명 시대의 디지털 윤리,종료,공학
부자학,종료,사회
소프트웨어와 창의적사고,종료,공학
사랑의 인문학,종료,인문
한국 생활사,종료,인문
대중음악과 청년문화,청강가능,사회
미적분학Ⅲ-벡터미적분학,청강가능,자연
클래식 친구 만들기,청강가능,예체능
언택트 시대 속 게임의 역할 - 일상을 건강하고 풍요롭게,청강가능,인문
자기돌봄을 위한 통합예술심리,청강가능,의료
사이버상담 개론,청강가능,사회
언택트 시대의 생활금융,청강가능,사회
노인상담 이론과 기법,청강가능,사회
노인문제와 심리평가,청강가능,사회
노인상담의 실제,청강가능,사회
웹문학과 디지털 인간,청강가능,인문
웹소설 창작과 업로드,청강가능,인문
웹툰 스토리 작법,청강가능,인문
웹스토리텔링과 유튜브,청강가능,인문
웹스토리 콘텐츠 운용,청강가능,인문
3D 프린터! 아이디어를 출력하라,청강가능,공학
인공지능 윤리,청강가능,공학
노인상담의 이해,청강가능,사회
전생애 발달과 노인심리,청강가능,사회
위대한 수업2(GREAT MINDS) : 플랫폼 제국의 비밀,청강가능,인문
해외긴급구호 의료팀 교육,청강가능,의료
초급아랍어 입문과정2,청강가능,인문
초급몽골어 입문(A1-2),청강가능,인문
포르투갈어초급 입문과정2,청강가능,인문
포르투갈어초급 입문 과정,청강가능,인문
초급베트남어 듣기 말하기2,청강가능,인문
초급베트남어 듣기 말하기,청강가능,인문
초급몽골어 입문(A1-1),청강가능,인문
초급아랍어 입문과정,청강가능,인문
"차이나는 K-클라스 : 세상 어디에도 없는 종합예술, 판소리(이자람)",청강가능,예체능
인간 감성으로 풀어보는 행동경제 이야기,청강가능,사회
결정의 미학 : 결정이 두려운 당신에게,청강가능,인문
미래 모빌리티 최신 기술동향,청강가능,공학
조선 산업 : 미래기술의 집합체가 되다,청강가능,공학
미래산업에서 수소연료전지의 위상,청강가능,공학
가족과 건강 : 운동과 뇌 건강 Ⅰ,청강가능,의료
모범시민의 교양회계 Ⅰ,청강가능,사회
Harmonic functions of two real variables and Applications,진행중,사회
Design Thinking : 문제의 발견과 해결,진행중,사회
디자인 씽킹을 넘어 가치 디자인으로,진행중,사회
"미생물, 면역, 그리고 감염성 질병",진행중,자연
스마트 계약 및 응용,진행중,공학
고급 블록체인 이론 및 응용,진행중,공학
지구과학과 환경기술,진행중,자연
데이터과학을 위한 R프로그래밍,진행중,자연
나노광학: 플라즈모닉스와 메타물질,진행중,공학
양자물리와 양자컴퓨팅 기초,진행중,자연
시스템 반도체 설계(하드웨어 시스템즈),진행중,자연
"아날로그와 디지털 세계를 잇는, 메이커 입문",진행중,사회
코딩으로 배우는 일반화학,진행중,자연
블록체인 입문,진행중,공학
블록체인 이론 및 응용,진행중,공학
암호화폐 이론 및 응용,진행중,공학
왜 음식윤리인가 : 문제 해결의 열쇠,청강가능,자연
멀티링구얼 습득과 실천: 일본어와 영어를 동시에 배우기(초급),청강가능,자연
기업가정신과 기업가적 행동,청강가능,사회
베트남어 읽기 A2,청강가능,인문
인도네시아어 A1,청강가능,인문
크메르어 문자와 기초회화,청강가능,인문
기초 힌디어,청강가능,인문
초급 아랍어,청강가능,인문
최초반응자를 위한 외상처치술,청강가능,의료
언리얼 엔진 리얼 제작기,청강가능,공학
마케팅조사론,청강가능,사회
영화와 테크놀로지,청강가능,예체능
문화와 생활 속 청렴 시즌2,종료,교육
문화와 생활 속 청렴,종료,인문
통증을 물어보는 진료 중국어,청강가능,인문
통증을 알아듣는 진료 중국어,청강가능,인문
패턴으로 정복하는 중급중국어,청강가능,인문
쉽게 들어가는 중국어 입문,청강가능,인문
"차이나는 K-클라스 : 세상 '힙'한 요즘 노래, K-민요(이희문)",청강가능,예체능
"차이나는 K-클라스 : K-콘텐트, 80억 구독자를 잡아라!(원동연)",청강가능,예체능
위대한 수업2(GREAT MINDS) : 한 컷의 세계,청강가능,예체능
"가자, 한국어",청강가능,예체능
한국어교육학개론,청강가능,예체능
한국어문법교육론,청강가능,예체능
한국어발음교육론,청강가능,예체능
한국 현대문화의 이해,청강가능,예체능
비만의 사회학,청강가능,예체능
삼국지 인문학,청강가능,예체능
디지털 논리회로와 인공지능,청강가능,공학
알기 쉬운 원자력 에너지 이야기,청강가능,공학
문학과 예술이론의 아포리아에 대한 동서양의 대화,청강가능,공학
언어의 세계 : 중국,청강가능,공학
패션 스튜디오,청강가능,공학
생활 속의 헌법 이야기,종료,사회
터키어 읽기 A2,청강가능,인문
대기오염개론,청강가능,공학
전산유체역학,청강가능,공학
에어로졸개론,청강가능,공학
미세먼지를 알아보자!,청강가능,공학
법률가와 정치,청강가능,사회
응용유체역학,청강가능,공학
한국문화로 배우는 한국어,청강가능,공학
블록체인과 비즈니스 서비스,청강가능,사회
건강한 삶: 건강한 몸과 병든 몸,청강가능,의료
영화로 이해하는 불안과 공포,청강가능,예체능
"호모, 인간을 말하다",청강가능,인문
미래를 위한 교수법 ② : 학습자 중심 비대면 교육,청강가능,교육
고대 그리스 신화와 문학세계,청강가능,인문
디지털 시대의 커뮤니케이션,청강가능,사회
성공적인 소셜벤처 창업을 위한 실무 개론,청강가능,사회
헌법: 갈등해결의 코드,청강가능,사회
예술적 얼굴과 감정조절,종료,예체능
"기본권, 세상과 통하는 法",청강가능,사회
반려견 컷 스타일링,청강가능,자연
환경관리학,청강가능,자연
반려견 기본예절훈련,청강가능,자연
반려동물의 이해,청강가능,자연
펫 소품 디자인,청강가능,자연
기초 반려견 스타일링,청강가능,자연
인간 뇌의 이해,청강가능,자연
흔들리는 20대 : 청년 심리학,청강가능,자연
현대사회 건강문제와 인간돌봄학문으로서의 간호,청강가능,자연
서울대 소장품 감상하기: 예술을 중심으로 ,청강가능,자연
서울대 소장품 감상하기: 문화재를 중심으로,청강가능,자연
감염병 대응 음압병실 체험하기,청강가능,자연
경제학원론 : 거시경제학,청강가능,자연
현대철학사조: 현대철학의 거장들,청강가능,자연
니체 읽기-인문고전 『차라투스트라는 이렇게 말했다』,청강가능,자연
교육연구를 위한 통계방법,청강가능,자연
논어와 현대 사회 - 리더를 위한 논어 읽기,청강가능,자연
데이터로 배우는 통계학,청강가능,자연
종교 상징의 이해,청강가능,자연
소비자와 시장,청강가능,자연
환자 시뮬레이터 체험하기,청강가능,자연
경제학 들어가기,청강가능,사회
경제학원론 : 미시경제학,청강가능,사회
상담학 들어가기,청강가능,사회
행복심리학,청강가능,사회
언어와 인간,청강가능,사회
문학/영화와 인공지능,청강가능,사회
인공지능의 기초,청강가능,사회
데이터 마이닝,청강가능,사회
인공지능 만들기,청강가능,사회
심리학과 인공지능,청강가능,사회
언어학과 인공지능,청강가능,사회
철학과 인공지능,청강가능,사회
인간 중심 성찰과 디자인,청강가능,사회
경제통계학 3부 - 표본조사와 통계적 추론 ,청강가능,사회
빅데이터와 인공지능의 응용,청강가능,사회
경제통계학 1부 : 그림과 수치를 이용한 자료의 정리,청강가능,사회
"경제통계학 2부 - 통계적 추론을 위한 개념, 도구, 사례 ",청강가능,사회
아시아사 개척자들의 역사 이야기 + @,청강가능,인문
도전! 국제조세법 101,종료,사회
마켓과 ING하기: 마케팅 고수가 되기 위한 원리,청강가능,사회
"도시와 건축 실무의 접점, 단지계획",청강가능,공학
정의롭고 좋은 삶에 관한 이야기 - 플라톤 <국가> 읽기,청강가능,인문
국제이주의 이해,청강가능,사회
인공지능 만들기 : 기계학습 방법론의 이해,청강가능,자연
레이저란 무엇인가? 기초에서 응용까지,청강가능,공학
"장애, 체육을 만나다: 장애인체육 제대로 알기",청강가능,예체능
성공하는 사업자를 위한 법인세 세무전략,청강가능,사회
내 삶에 영향을 주는 음악 수업,청강가능,예체능
여성과 정치,청강가능,사회
한국의 자연지리,청강가능,자연
"도시성장기 서울의 도시 개발 경험, 1960-2010",종료,공학
알기 쉬운 분자생물학,청강가능,자연
아동상담: 놀이와 예술을 통한 어린이 마음치료 - 놀이･예술 기반 아동상담의 특성과 과정,청강가능,자연
아동상담: 놀이와 예술을 통한 어린이 마음치료 - 아동의 증상에 따른 놀이･예술 기반 상담의 실제,청강가능,자연
아동상담: 놀이와 예술을 통한 어린이 마음치료 - 아동 문제의 이해와 놀이･예술 심리평가,청강가능,자연
독일어권 국가들의 문화 이해,청강가능,인문
도시경제,청강가능,사회
논리적 영어 글쓰기,청강가능,인문
운동생리학,청강가능,교육
현재와 대화하는 조선시대사,청강가능,인문
학문적 글쓰기를 위한 한국어 문법,청강가능,인문
대학생을 위한 영어의 장벽 넘기,청강가능,인문
